Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo,Length
Maeda,9,2,1961,Pygmy,80,Female,No,-47,39,Unknown,37,37,No,Yes,NA,NA,24.384
Maeda,9,2,1961,Pygmy,79,Female,No,-47,39,Unknown,22,22,No,Yes,NA,NA,24.0792
Maeda,9,2,1961,Pygmy,77,Male,No,-47,39,Unknown,19,19,No,Yes,NA,NA,23.4696
Maeda,9,2,1961,Pygmy,74,Male,No,-47,39,Unknown,15,15,No,Yes,NA,NA,22.555200000000003
Maeda,9,2,1961,Pygmy,75,Male,No,-47,39,Unknown,27,27,No,Yes,NA,NA,22.86
Maeda,9,2,1961,Pygmy,70,Male,No,-47,39,Unknown,36,36,No,Yes,NA,NA,21.336000000000002
Maeda,9,2,1961,Pygmy,72,Female,No,-47,39,Unknown,12,12,No,Yes,NA,NA,21.945600000000002
Maeda,9,2,1961,Pygmy,72,Female,Yes,-47,39,Mature,19,19,No,Yes,NA,NA,21.945600000000002
Maeda,9,2,1961,Pygmy,74,Male,No,-47,39,Unknown,45,45,No,Yes,NA,NA,22.555200000000003
Maeda,9,2,1961,Pygmy,71,Female,No,-47,39,Unknown,8,8,No,Yes,NA,NA,21.640800000000002
Maeda,10,2,1961,Pygmy,71,Male,No,-48,42,Unknown,46,46,No,Yes,NA,NA,21.640800000000002
Maeda,10,2,1961,Pygmy,71,Male,No,-48,42,Unknown,7,7,No,Yes,NA,NA,21.640800000000002
Maeda,10,2,1961,Pygmy,68,Female,No,-48,42,Unknown,5,5,No,Yes,NA,NA,20.7264
Maeda,10,2,1961,Pygmy,73,Female,No,-48,42,Unknown,33,33,No,Yes,NA,NA,22.250400000000003
Maeda,11,2,1961,Pygmy,73,Female,No,-47,41,Unknown,21,21,No,Yes,NA,NA,22.250400000000003
Maeda,12,2,1961,Pygmy,70,Female,No,-47,41,Unknown,20,20,No,Yes,NA,NA,21.336000000000002
Maeda,12,2,1961,Pygmy,70,Male,No,-47,41,Unknown,20,20,No,Yes,NA,NA,21.336000000000002
Maeda,12,2,1961,Pygmy,72,Male,No,-47,41,Unknown,23,23,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,72,Male,No,-47,41,Unknown,29,29,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,72,Male,No,-47,41,Unknown,11,11,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,73,Male,No,-47,41,Unknown,53,53,No,Yes,NA,NA,22.250400000000003
Maeda,12,2,1961,Pygmy,72,Male,No,-47,41,Unknown,29,29,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,71,Male,No,-47,41,Unknown,28,28,No,Yes,NA,NA,21.640800000000002
Maeda,12,2,1961,Pygmy,71,Male,No,-47,41,Unknown,31,31,No,Yes,NA,NA,21.640800000000002
Maeda,12,2,1961,Pygmy,72,Female,No,-47,41,Unknown,3,3,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,73,Female,Yes,-47,41,Mature,26,26,No,Yes,NA,NA,22.250400000000003
Maeda,12,2,1961,Pygmy,71,Male,No,-47,41,Unknown,22,22,No,Yes,NA,NA,21.640800000000002
Maeda,12,2,1961,Pygmy,72,Male,No,-47,41,Unknown,23,23,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,72,Female,No,-47,41,Unknown,20,20,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,72,Male,No,-47,41,Unknown,46,46,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,73,Male,No,-47,41,Unknown,24,24,No,Yes,NA,NA,22.250400000000003
Maeda,12,2,1961,Pygmy,72,Female,Yes,-47,41,Mature,17,17,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,72,Female,No,-47,41,Unknown,30,30,No,Yes,NA,NA,21.945600000000002
Maeda,12,2,1961,Pygmy,74,Female,Yes,-47,41,Mature,29,29,No,Yes,NA,NA,22.555200000000003
Maeda,12,2,1961,Pygmy,71,Male,No,-47,41,Unknown,26,26,No,Yes,NA,NA,21.640800000000002
Maeda,12,2,1961,Pygmy,73,Male,No,-47,41,Unknown,70,70,No,Yes,NA,NA,22.250400000000003
Maeda,12,2,1961,Pygmy,71,Male,No,-47,41,Unknown,24,24,No,Yes,NA,NA,21.640800000000002
Maeda,12,2,1961,Pygmy,72,Male,No,-47,41,Unknown,25,25,No,Yes,NA,NA,21.945600000000002
Maeda,13,2,1961,Pygmy,73,Female,Yes,-47,42,Mature,18,18,No,Yes,NA,NA,22.250400000000003
Maeda,13,2,1961,Pygmy,72,Female,No,-47,42,Unknown,18,18,No,Yes,NA,NA,21.945600000000002
Maeda,13,2,1961,Pygmy,72,Male,No,-47,42,Unknown,39,39,No,Yes,NA,NA,21.945600000000002
Maeda,13,2,1961,Pygmy,74,Female,No,-47,42,Unknown,15,15,No,Yes,NA,NA,22.555200000000003
Maeda,13,2,1961,Pygmy,73,Male,No,-47,42,Unknown,25,25,No,Yes,NA,NA,22.250400000000003
Maeda,13,2,1961,Pygmy,74,Male,No,-47,42,Unknown,43,43,No,Yes,NA,NA,22.555200000000003
Maeda,13,2,1961,Pygmy,73,Female,Yes,-47,42,Mature,20,20,No,Yes,NA,NA,22.250400000000003
Maeda,13,2,1961,Pygmy,73,Male,No,-47,42,Unknown,16,16,No,Yes,NA,NA,22.250400000000003
Maeda,13,2,1961,Pygmy,73,Male,No,-47,42,Unknown,4,4,No,Yes,NA,NA,22.250400000000003
Maeda,13,2,1961,Pygmy,72,Female,Yes,-47,42,Mature,14,14,No,Yes,NA,NA,21.945600000000002
Maeda,13,2,1961,Pygmy,73,Female,No,-47,42,Unknown,26,26,No,Yes,NA,NA,22.250400000000003
Maeda,13,2,1961,Pygmy,70,Female,Yes,-47,42,Mature,21,21,No,Yes,NA,NA,21.336000000000002
Maeda,13,2,1961,Pygmy,72,Female,No,-47,42,Unknown,16,16,No,Yes,NA,NA,21.945600000000002
Maeda,13,2,1961,Pygmy,72,Male,No,-47,42,Unknown,43,43,No,Yes,NA,NA,21.945600000000002
Maeda,13,2,1961,Pygmy,72,Male,No,-47,42,Unknown,15,15,No,Yes,NA,NA,21.945600000000002
Maeda,13,2,1961,Pygmy,72,Male,No,-47,42,Unknown,37,37,No,Yes,NA,NA,21.945600000000002
Maeda,13,2,1961,Pygmy,66,Male,No,-47,42,Mature,8,8,No,Yes,NA,NA,20.1168
Maeda,13,2,1961,Pygmy,70,Male,No,-47,42,Unknown,15,15,No,Yes,NA,NA,21.336000000000002
Maeda,13,2,1961,Pygmy,70,Female,Yes,-47,42,Mature,57,57,No,Yes,NA,NA,21.336000000000002
Maeda,13,2,1961,Pygmy,70,Male,No,-47,42,Unknown,20,20,No,Yes,NA,NA,21.336000000000002
Maeda,14,2,1961,Pygmy,72,Male,No,-47,43,Unknown,17,17,No,Yes,NA,NA,21.945600000000002
Maeda,14,2,1961,Pygmy,72,Male,No,-47,43,Unknown,38,38,No,Yes,NA,NA,21.945600000000002
Maeda,15,2,1961,Pygmy,75,Female,No,-48,44,Unknown,44,44,No,Yes,NA,NA,22.86
Maeda,3,3,1961,Pygmy,72,Female,No,-48,47,Unknown,21,21,No,Yes,NA,NA,21.945600000000002
Maeda,3,3,1961,Pygmy,70,Male,No,-48,47,Unknown,25,25,No,Yes,NA,NA,21.336000000000002
Maeda,3,3,1961,Pygmy,73,Male,No,-48,47,Unknown,48,48,No,Yes,NA,NA,22.250400000000003
Maeda,3,3,1961,Pygmy,73,Male,No,-48,47,Unknown,40,40,No,Yes,NA,NA,22.250400000000003
Maeda,3,3,1961,Pygmy,71,Male,No,-48,47,Unknown,19,19,No,Yes,NA,NA,21.640800000000002
Maeda,3,3,1961,Pygmy,72,Female,Yes,-48,47,Mature,47,47,No,Yes,NA,NA,21.945600000000002
Maeda,3,3,1961,Pygmy,72,Female,No,-48,47,Unknown,31,31,No,Yes,NA,NA,21.945600000000002
Maeda,3,3,1961,Pygmy,72,Male,No,-48,47,Unknown,17,17,No,Yes,NA,NA,21.945600000000002
Maeda,3,3,1961,Pygmy,71,Female,Yes,-48,47,Mature,22,22,No,Yes,NA,NA,21.640800000000002
Maeda,4,3,1961,Pygmy,75,Male,No,-48,48,Unknown,32,32,No,Yes,NA,NA,22.86
