Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo
Maeda,25,3,1960,Pygmy,77,F,No,-48,70,Unknown,10,10,Yes,No,NA,
Maeda,25,3,1960,Pygmy,72,M,No,-48,70,Unknown,12,12,No,Yes,NA,
Maeda,26,3,1960,Pygmy,70,F,No,-48,69,Unknown,5,5,No,Yes,NA,
Maeda,26,3,1960,Pygmy,72,M,No,-48,69,Unknown,20,20,No,Yes,NA,
Maeda,26,3,1960,Pygmy,72,F,No,-48,69,Unknown,24,24,No,Yes,NA,
Maeda,26,3,1960,Pygmy,70,F,No,-48,69,Unknown,15,15,Yes,No,NA,
Maeda,25,3,1960,Pygmy,78,F,No,-53,74,Unknown,33,33,No,Yes,NA,
Maeda,25,3,1960,Pygmy,73,F,Yes,-53,74,Mature,22,22,No,Yes,NA,
Maeda,25,3,1960,Pygmy,70,M,No,-53,74,Unknown,4,4,No,Yes,NA,
Maeda,26,3,1960,Pygmy,73,M,No,-49,70,Unknown,9,9,No,Yes,NA,
Maeda,26,3,1960,Pygmy,72,F,No,-49,70,Unknown,42,42,No,Yes,NA,
Maeda,26,3,1960,Pygmy,73,F,No,-49,70,Unknown,9,9,No,Yes,NA,
Maeda,26,3,1960,Pygmy,71,F,No,-49,70,Unknown,7,7,No,Yes,NA,
Maeda,26,3,1960,Pygmy,72,F,No,-49,70,Unknown,13,13,Yes,No,NA,
Maeda,26,3,1960,Pygmy,72,M,No,-49,70,Unknown,8,8,No,Yes,NA,
Maeda,26,3,1960,Pygmy,72,M,No,-49,70,Unknown,6,6,Yes,No,NA,
Maeda,26,3,1960,Pygmy,71,M,No,-49,70,Unknown,22,22,No,Yes,NA,
Maeda,26,3,1960,Pygmy,77,F,No,-49,70,Unknown,25,25,No,Yes,NA,
Maeda,26,3,1960,Pygmy,70,M,No,-49,70,Unknown,18,18,No,Yes,NA,
Maeda,26,3,1960,Pygmy,68,M,No,-49,70,Unknown,6,6,No,Yes,NA,
Maeda,9,2,1961,Pygmy,70,F,No,-47,39,Unknown,15,15,No,Yes,NA,
Maeda,9,2,1961,Pygmy,72,M,No,-47,39,Unknown,20,20,No,Yes,NA,
Maeda,9,2,1961,Pygmy,71,F,No,-47,39,Unknown,20,20,No,Yes,NA,
Maeda,9,2,1961,Pygmy,71,M,No,-47,39,Unknown,11,11,No,Yes,NA,
Maeda,9,2,1961,Pygmy,71,M,No,-47,39,Unknown,13,13,No,Yes,NA,
Maeda,9,2,1961,Pygmy,73,M,No,-47,39,Unknown,31,31,No,Yes,NA,
Maeda,9,2,1961,Pygmy,73,M,No,-47,39,Unknown,26,26,No,Yes,NA,
Maeda,9,2,1961,Pygmy,72,M,No,-47,39,Unknown,17,17,No,Yes,NA,
Maeda,9,2,1961,Pygmy,80,F,No,-47,39,Unknown,37,37,No,Yes,NA,
Maeda,9,2,1961,Pygmy,79,F,No,-47,39,Unknown,22,22,No,Yes,NA,
Maeda,9,2,1961,Pygmy,77,M,No,-47,39,Unknown,19,19,No,Yes,NA,
Maeda,9,2,1961,Pygmy,74,M,No,-47,39,Unknown,15,15,No,Yes,NA,
Maeda,9,2,1961,Pygmy,75,M,No,-47,39,Unknown,27,27,No,Yes,NA,
Maeda,9,2,1961,Pygmy,70,M,No,-47,39,Unknown,36,36,No,Yes,NA,
Maeda,9,2,1961,Pygmy,72,F,No,-47,39,Unknown,12,12,No,Yes,NA,
Maeda,9,2,1961,Pygmy,72,M,No,-47,39,Unknown,19,19,Yes,No,NA,
Maeda,9,2,1961,Pygmy,72,F,Yes,-47,39,Mature,19,19,No,Yes,NA,
Maeda,9,2,1961,Pygmy,74,M,No,-47,39,Unknown,45,45,No,Yes,NA,
Maeda,9,2,1961,Pygmy,71,F,No,-47,39,Unknown,8,8,No,Yes,NA,
Maeda,10,2,1961,Pygmy,71,M,No,-48,42,Unknown,46,46,No,Yes,NA,
Maeda,10,2,1961,Pygmy,71,M,No,-48,42,Unknown,7,7,No,Yes,NA,
Maeda,10,2,1961,Pygmy,68,F,No,-48,42,Unknown,5,5,No,Yes,NA,
Maeda,10,2,1961,Pygmy,73,F,No,-48,42,Unknown,33,33,No,Yes,NA,
Maeda,11,2,1961,Pygmy,73,M,No,-47,41,Unknown,24,24,Yes,No,NA,
Maeda,11,2,1961,Pygmy,73,F,No,-47,41,Unknown,21,21,No,Yes,NA,
Maeda,12,2,1961,Pygmy,70,F,No,-47,41,Unknown,20,20,No,Yes,NA,
Maeda,12,2,1961,Pygmy,70,M,No,-47,41,Unknown,20,20,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,M,No,-47,41,Unknown,23,23,No,Yes,NA,
Maeda,12,2,1961,Pygmy,71,F,No,-47,41,Unknown,14,14,Yes,No,NA,
Maeda,12,2,1961,Pygmy,72,M,No,-47,41,Unknown,29,29,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,M,No,-47,41,Unknown,11,11,No,Yes,NA,
Maeda,12,2,1961,Pygmy,73,M,No,-47,41,Unknown,53,53,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,M,No,-47,41,Unknown,29,29,No,Yes,NA,
Maeda,12,2,1961,Pygmy,70,F,No,-47,41,Unknown,19,19,Yes,No,NA,
Maeda,12,2,1961,Pygmy,72,M,No,-47,41,Unknown,35,35,Yes,No,NA,
Maeda,12,2,1961,Pygmy,71,M,No,-47,41,Unknown,28,28,No,Yes,NA,
Maeda,12,2,1961,Pygmy,71,M,No,-47,41,Unknown,31,31,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,F,No,-47,41,Unknown,3,3,No,Yes,NA,
Maeda,12,2,1961,Pygmy,73,F,Yes,-47,41,Mature,26,26,No,Yes,NA,
Maeda,12,2,1961,Pygmy,71,M,No,-47,41,Unknown,22,22,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,M,No,-47,41,Unknown,23,23,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,F,No,-47,41,Unknown,20,20,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,M,No,-47,41,Unknown,46,46,No,Yes,NA,
Maeda,12,2,1961,Pygmy,73,M,No,-47,41,Unknown,24,24,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,F,Yes,-47,41,Mature,17,17,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,F,No,-47,41,Unknown,30,30,No,Yes,NA,
Maeda,12,2,1961,Pygmy,74,F,Yes,-47,41,Mature,29,29,No,Yes,NA,
Maeda,12,2,1961,Pygmy,70,M,No,-47,41,Unknown,18,18,Yes,No,NA,
Maeda,12,2,1961,Pygmy,71,M,No,-47,41,Unknown,26,26,No,Yes,NA,
Maeda,12,2,1961,Pygmy,70,F,Yes,-47,41,Mature,13,13,Yes,No,NA,
Maeda,12,2,1961,Pygmy,70,M,No,-47,41,Unknown,24,24,Yes,No,NA,
Maeda,12,2,1961,Pygmy,73,M,No,-47,41,Unknown,70,70,No,Yes,NA,
Maeda,12,2,1961,Pygmy,71,M,No,-47,41,Unknown,24,24,No,Yes,NA,
Maeda,12,2,1961,Pygmy,72,M,No,-47,41,Unknown,25,25,No,Yes,NA,
Maeda,13,2,1961,Pygmy,73,F,Yes,-47,42,Mature,18,18,No,Yes,NA,
Maeda,13,2,1961,Pygmy,72,F,No,-47,42,Unknown,18,18,No,Yes,NA,
Maeda,13,2,1961,Pygmy,72,M,No,-47,42,Unknown,39,39,No,Yes,NA,
Maeda,13,2,1961,Pygmy,74,F,No,-47,42,Unknown,15,15,No,Yes,NA,
Maeda,13,2,1961,Pygmy,73,M,No,-47,42,Unknown,25,25,No,Yes,NA,
Maeda,13,2,1961,Pygmy,74,M,No,-47,42,Unknown,43,43,No,Yes,NA,
Maeda,13,2,1961,Pygmy,73,F,Yes,-47,42,Mature,20,20,No,Yes,NA,
Maeda,13,2,1961,Pygmy,73,M,No,-47,42,Unknown,16,16,No,Yes,NA,
Maeda,13,2,1961,Pygmy,73,M,No,-47,42,Unknown,4,4,No,Yes,NA,
Maeda,13,2,1961,Pygmy,72,F,Yes,-47,42,Mature,14,14,No,Yes,NA,
Maeda,13,2,1961,Pygmy,73,F,No,-47,42,Unknown,26,26,No,Yes,NA,
Maeda,13,2,1961,Pygmy,70,F,Yes,-47,42,Mature,21,21,No,Yes,NA,
Maeda,13,2,1961,Pygmy,72,F,No,-47,42,Unknown,16,16,No,Yes,NA,
Maeda,13,2,1961,Pygmy,72,M,No,-47,42,Unknown,43,43,No,Yes,NA,
Maeda,13,2,1961,Pygmy,72,M,No,-47,42,Unknown,15,15,No,Yes,NA,
Maeda,13,2,1961,Pygmy,72,M,No,-47,42,Unknown,37,37,No,Yes,NA,
Maeda,13,2,1961,Pygmy,66,M,No,-47,42,Mature,8,8,No,Yes,NA,
Maeda,13,2,1961,Pygmy,70,M,No,-47,42,Unknown,15,15,No,Yes,NA,
Maeda,13,2,1961,Pygmy,70,F,Yes,-47,42,Mature,57,57,No,Yes,NA,
Maeda,13,2,1961,Pygmy,67,M,No,-47,42,Unknown,19,19,Yes,No,NA,
Maeda,13,2,1961,Pygmy,70,M,No,-47,42,Unknown,20,20,No,Yes,NA,
Maeda,14,2,1961,Pygmy,71,F,No,-47,43,Unknown,28,28,Yes,No,NA,
